uuid,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
eb24f214-f18b-11ec-a33e-acde48001122,CHEVROLET,Suburban 4WD,SUV - STANDARD,5.3,8,A6,X,16.8,11.3,14.4,20,337
eb2525fe-f18b-11ec-a33e-acde48001122,CHEVROLET,CAMARO,SUBCOMPACT,3.6,6,M6,X,14.4,8.4,11.7,24,274
eb252d2e-f18b-11ec-a33e-acde48001122,LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.5,9.2,11.0,26,257
eb253274-f18b-11ec-a33e-acde48001122,LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,16.2,12.3,14.5,19,337
eb253706-f18b-11ec-a33e-acde48001122,PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.0,6,AM7,Z,11.0,8.4,9.8,29,230
eb253b48-f18b-11ec-a33e-acde48001122,BMW,335i SEDAN,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221
eb253f8a-f18b-11ec-a33e-acde48001122,LEXUS,RC F,SUBCOMPACT,5.0,8,AS8,Z,15.2,9.5,12.6,22,289
eb2543c2-f18b-11ec-a33e-acde48001122,AUDI,A7 quattro,MID-SIZE,3.0,6,AM7,Z,10.7,8.2,9.6,29,224
eb2547e6-f18b-11ec-a33e-acde48001122,NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.5,10.7,12.8,22,300
eb254be2-f18b-11ec-a33e-acde48001122,LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.8,14.2,20,327
eb254fca-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216
eb2553d0-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,Jetta GLI,COMPACT,2.0,4,M6,X,9.6,7.1,8.5,33,198
eb255862-f18b-11ec-a33e-acde48001122,TOYOTA,VENZA,SUV - SMALL,2.7,4,AS6,X,11.6,9.0,10.4,27,239
eb255c68-f18b-11ec-a33e-acde48001122,ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,20.0,12.6,16.7,17,390
eb256078-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.2,11.8,14.2,20,327
eb25647e-f18b-11ec-a33e-acde48001122,BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213
eb25687a-f18b-11ec-a33e-acde48001122,HONDA,Fit,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.9,6.5,43,151
eb256c80-f18b-11ec-a33e-acde48001122,TOYOTA,Camry Hybrid LE,MID-SIZE,2.5,4,AV6,X,4.9,4.8,4.9,58,113
eb25707c-f18b-11ec-a33e-acde48001122,HYUNDAI,Sonata SE,FULL-SIZE,2.4,4,AS6,X,9.2,6.8,8.1,35,190
eb257482-f18b-11ec-a33e-acde48001122,KIA,NIRO,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114
eb25787e-f18b-11ec-a33e-acde48001122,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.3,8.6,9.5,30,222
eb257d10-f18b-11ec-a33e-acde48001122,HYUNDAI,VELOSTER,COMPACT,1.6,4,M6,X,9.0,6.7,8.0,35,184
eb2586e8-f18b-11ec-a33e-acde48001122,BMW,430i xDrive Gran Coupe,COMPACT,2.0,4,AS8,Z,10.2,7.2,8.8,32,207
eb258c2e-f18b-11ec-a33e-acde48001122,CHEVROLET,Cruze Hatchback Diesel,MID-SIZE,1.6,4,A9,D,7.8,5.2,6.6,43,178
eb259098-f18b-11ec-a33e-acde48001122,BMW,M240i Coupe M Performance,SUBCOMPACT,3.0,6,AS8,Z,11.4,8.1,9.9,29,231
eb2594d0-f18b-11ec-a33e-acde48001122,AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,12.6,9.4,11.1,25,260
eb2599a8-f18b-11ec-a33e-acde48001122,GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,14.9,10.1,12.8,22,300
eb259e76-f18b-11ec-a33e-acde48001122,HYUNDAI,Veloster Turbo,COMPACT,1.6,4,AM7,X,8.5,6.9,7.8,36,184
eb25a47a-f18b-11ec-a33e-acde48001122,HONDA,Fit,STATION WAGON - SMALL,1.5,4,AV7,X,7.6,6.5,7.0,40,166
eb25ac04-f18b-11ec-a33e-acde48001122,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9.0,11.0,26,259
eb25b0d2-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,S 65 AMG COUPE,COMPACT,6.0,12,AS7,Z,18.0,11.3,15.0,19,345
eb25b51e-f18b-11ec-a33e-acde48001122,FORD,FIESTA SFE,SUBCOMPACT,1.6,4,AS6,X,8.0,5.8,7.0,40,161
